question,article
What types of residence permits are issued in Georgia?,Article 15
On what grounds can a Georgian visa be refused?,Article 11
How can I extend my Georgian visa?,Article 9
Which categories of Georgian visa exist?,Article 7
Who is exempt from the Georgian visa requirement?,Article 10
How long is a residence permit valid for?,Article 16
Can I apply again after my residence permit application was rejected?,Article 19
What is a residence card and what does it confirm?,Article 20
Do foreigners have the right to work in Georgia?,Article 29
Can foreigners own property in Georgia?,Article 32
Do foreigners have access to healthcare in Georgia?,Article 30
Can a foreigner vote in Georgian elections?,Article 42
How much are the visa and residence permit fees?,Article 70
What are the grounds for denying a residence permit?,Article 18
When does my permitted period of stay in Georgia end?,Article 21
Which body issues residence permits in Georgia?,Article 14
What is the procedure for obtaining a Georgian visa?,Article 8
Are foreigners required to perform military service?,Article 44
How can a foreigner be granted Georgian citizenship?,Article 27
What happens during inspection at a border checkpoint?,Article 12
Can a foreigner invest or run a business in Georgia?,Article 28
How is the status of a stateless person determined?,Article 22
On what legal grounds can a foreigner be expelled from Georgia?,Article 50
Can I appeal a decision to expel me from Georgia?,Article 56
To which countries may an alien be expelled?,Article 59
In what cases is expulsion prohibited?,Article 61
Is re-entry banned after being expelled from Georgia?,Article 63
What are the general requirements for departure from Georgia?,Article 47
Can a foreigner be denied exit from Georgia?,Article 49
Do foreigners have the right to education in Georgia?,Article 33
What documents are needed to enter Georgia?,Article 4
Who is granted asylum in Georgia?,Article 46
Can the obligation to leave Georgia be deferred?,Article 48
What are the grounds for detaining an alien in a temporary accommodation centre?,Article 64
What is the liability for violating this Law?,Article 69
